Страна,Страна (русский),Код страны,Флаг
North Korea,Северная Корея,+850,🇰🇵
North Yemen,Северный Йемен,+967,🇾🇪
Northern Mariana Islands,Северно Марианские острова,+670,🇲🇵
Norway,Норвегия,+47,🇳🇴
Oman,Оман,+968,🇴🇲
Pakistan,Пакистан,+92,🇵🇰
Panama,Панама,+507,🇵🇦
Papua New Guinea,Папуа Новая Гвинея,+675,🇵🇬
Paraguay,Парагвай,+595,🇵🇾
Peru,Перу,+51,🇵🇪
Philippines,Филипины,+63,🇵🇭
Poland,Польша,+48,🇵🇱
Portugal,Португалия,+351,🇵🇹
Qatar,Катар,+974,🇶🇦
Republic of San Marino,Республика Сан Марино,+378,🇸🇲
Reunion,Реоньон,+262,🇷🇪
Romania,Румыния,+40,🇷🇴
Russia,Россия,+7,🇷🇺
Rwandese Republic,Республика Руанда,+250,🇷🇼
Saint Helena and Ascension Island,Остров Святой Елены и Вознесения,+247,🇸🇭
Saint Pierre et Miquelon,Сен-Пьер и Микелон,+508,🇵🇲
San Marino,Сан Марино,+39,🇸🇲
Sao Tome e Principe,Сан-Томе и Принсипи,+239,🇸🇹
Saudi Arabia,Саудовская Аравия,+966,🇸🇦
Senegal,Сенегал,+221,🇸🇳
Seychelles,Сейшельские острова,+248,🇸🇨
Sierra Leone,Сьерра Леоне,+232,🇸🇱
Singapore,Сингапур,+65,🇸🇬
Slovakia,Словакия,+421,🇸🇰
Slovenia,Словения,+386,🇸🇮
Solomon Islands,Соломоновы острова,+677,🇸🇧
Somalia,Сомали,+252,🇸🇴
South Africa,ЮАР,+27,🇿🇦
South Korea,Южная Корея,+82,🇰🇷
South Yemen,Южный Йемен,+969,🇾🇪
Spain,Испания,+34,🇪🇸
Sri Lanka,Шри Ланка,+94,🇱🇰
Sudan,Судан,+249,🇸🇩
Suriname,Суринам,+597,🇸🇷
Svalbard and Jan Mayen Islands,Острова Шпицберген и Ян-Майен,+47,🇸🇯
Swaziland,Свазиленд,+268,🇸🇿
Sweden,Швеция,+46,🇸🇪
Switzerland,Швейцария,+41,🇨🇭
Syria,Сирия,+963,🇸🇾
Ta(d)jikistan,Таджикистан,+992,🇹🇯
Taiwan,Тайвань,+886,🇹🇼
Tanzania,Танзания,+255,🇹🇿
Thailand,Тайланд,+66,🇹🇭
Togolese Republic,Республика Тоголезе,+228,🇹🇬
Tokelau,Токелау,+690,🇹🇰
Tonga,Тонго,+676,🇹🇴
Tunisia,Тунис,+21,🇹🇳
Turkey,Турция,+90,🇹🇷
Turkmenistan,Туркменистан,+993,🇹🇲
Tuvalu,Тувалу,+688,🇹🇻
Uganda,Уганда,+256,🇺🇬
Ukraine,Украина,+380,🇺🇦
United Arab Emirates,О.А.Э.,+971,🇦🇪
United Kingdom,Великобритания,+44,🇬🇧
Uruguay,Уругвай,+598,🇺🇾
USA,США,+1,🇺🇸
Uzbekistan,Узбекистан,+998,🇺🇿
Vanuatu,Вануату,+678,🇻🇺
Vatican City,Ватикан,+39,🇻🇦
Venezuela,Венесуэла,+58,🇻🇪
Vietnam,Вьетнам,+84,🇻🇳
Wallis and Futuna Islands,Острова Уоллис и Футуна,+681,🇼🇫
Western Sahara,Западная Сахара,+21,🇪🇭
Western Samoa,Западное Самоа,+685,🇼🇸
Yugoslavia,Югославия,+381,🇷🇸
Zaire,Заир,+243,🇨🇩
Zambia,Замбия,+260,🇿🇲
Zimbabwe,Зимбабве,+263,🇿🇼
